"Object","Close-Approach (CA) Date","CA DistanceNominal (au)","CA DistanceMinimum (au)","V relative(km/s)","V infinity(km/s)","H(mag)","Diameter","Rarity"
"(2023 VB10)","2023-Nov-19 21:35 ±    00:01","0.03629","0.03593","11.37","11.37","26.3","15 m -   33 m","0"
"(2023 WC2)","2023-Nov-19 23:37 ± < 00:01","0.02203","0.02193","6.74","6.73","25.1","25 m -   56 m","0"
"(2023 WF2)","2023-Nov-20 04:41 ±    00:04","0.00664","0.00661","8.03","7.98","27.5","8.4 m -   19 m","0"
"(2023 VE7)","2023-Nov-20 05:19 ± < 00:01","0.03600","0.03573","19.67","19.67","24.7","30 m -   68 m","0"
"(2023 VE4)","2023-Nov-20 17:44 ± < 00:01","0.03399","0.03370","11.62","11.61","24.9","28 m -   63 m","0"
"(2023 WZ1)","2023-Nov-20 20:24 ± < 00:01","0.00105","0.00105","16.52","16.37","28.9","4.3 m -  9.7 m","0"
"(2023 WQ2)","2023-Nov-20 23:18 ±    00:04","0.04565","0.04543","13.00","12.99","24.6","32 m -   71 m","0"
"(2023 VW5)","2023-Nov-21 02:15 ± < 00:01","0.01137","0.01135","11.18","11.16","25.4","22 m -   48 m","0"
"(2023 WG2)","2023-Nov-21 03:58 ± < 00:01","0.00516","0.00513","22.96","22.94","26.8","12 m -   26 m","0"
"(2023 WW2)","2023-Nov-21 08:30 ± < 00:01","0.04375","0.04336","13.60","13.59","24.8","29 m -   65 m","0"
"(2023 WV)","2023-Nov-22 15:12 ± < 00:01","0.00587","0.00586","14.05","14.02","26.8","11 m -   26 m","0"
"(2023 WJ1)","2023-Nov-22 16:45 ± < 00:01","0.03006","0.02996","4.93","4.91","26.3","15 m -   33 m","0"
"(2023 VC7)","2023-Nov-23 07:47 ± < 00:01","0.02722","0.02713","8.13","8.12","25.9","18 m -   40 m","0"
"(2023 VH6)","2023-Nov-23 11:49 ± < 00:01","0.01752","0.01752","7.33","7.31","25.6","20 m -   45 m","0"
"(2019 UT6)","2023-Nov-24 07:46 ± < 00:01","0.02315","0.02315","13.20","13.20","21.9","110 m -  250 m","1"
"(2023 XN14)","2023-Nov-24 07:50 ±    00:04","0.04504","0.04495","9.74","9.73","23.6","50 m -  110 m","0"
"(2023 XV10)","2023-Nov-24 23:38 ±    00:17","0.03377","0.03318","6.78","6.77","25.4","22 m -   49 m","0"
"(2019 CZ2)","2023-Nov-25 18:30 ± < 00:01","0.00707","0.00707","5.84","5.77","24.6","32 m -   71 m","1"
"(2023 VH5)","2023-Nov-25 19:56 ±    00:02","0.04590","0.04515","9.04","9.03","25.2","25 m -   55 m","0"
"(2023 XP5)","2023-Nov-25 21:53 ±    00:03","0.04445","0.04404","10.52","10.52","25.7","20 m -   44 m","0"
"(2023 WN2)","2023-Nov-26 04:26 ± < 00:01","0.01893","0.01879","14.88","14.87","23.3","57 m -  130 m","1"
"(2023 WT2)","2023-Nov-26 04:47 ± < 00:01","0.00551","0.00550","13.55","13.52","27.8","7.4 m -   17 m","0"
"(2023 XD2)","2023-Nov-26 12:19 ± < 00:01","0.03808","0.03793","10.87","10.86","25.3","24 m -   53 m","0"
"(2023 VM1)","2023-Nov-26 15:04 ±    00:01","0.02784","0.02760","8.85","8.84","24.6","32 m -   71 m","0"
"(2023 XT20)","2023-Nov-26 18:37 ± < 00:01","0.03150","0.03133","16.57","16.56","25.6","20 m -   45 m","0"
"(2023 XQ)","2023-Nov-27 18:13 ± < 00:01","0.01874","0.01868","10.80","10.79","25.3","23 m -   52 m","0"
"(2013 UB3)","2023-Nov-27 23:22 ± < 00:01","0.04740","0.04739","5.41","5.40","25.8","18 m -   41 m","0"
"(2023 XK3)","2023-Nov-28 00:48 ±    00:05","0.00757","0.00752","18.03","18.01","27.0","10 m -   23 m","0"
"(2023 XM2)","2023-Nov-28 06:48 ± < 00:01","0.00821","0.00818","6.46","6.41","26.7","12 m -   28 m","0"
"(2023 WE1)","2023-Nov-28 09:11 ±    00:10","0.01991","0.01982","13.04","13.03","26.7","12 m -   27 m","0"
"(2023 XN1)","2023-Nov-28 09:30 ±    00:02","0.02936","0.02893","12.28","12.27","26.4","14 m -   31 m","0"
"(2023 XW1)","2023-Nov-28 11:44 ±    00:01","0.01409","0.01406","5.42","5.39","27.5","8.4 m -   19 m","0"
"(2023 XG3)","2023-Nov-28 19:52 ±    00:05","0.01483","0.01478","18.47","18.46","25.4","22 m -   49 m","0"
"(2023 VR5)","2023-Nov-28 21:21 ±    00:01","0.01362","0.01357","3.03","2.96","27.7","7.7 m -   17 m","0"
"(2023 XQ2)","2023-Nov-29 01:36 ± < 00:01","0.02511","0.02481","8.70","8.69","25.8","19 m -   42 m","0"
"(2023 XG)","2023-Nov-29 04:33 ± < 00:01","0.02663","0.02658","5.19","5.17","26.1","16 m -   36 m","0"
"(2023 XF3)","2023-Nov-29 08:57 ± < 00:01","0.03706","0.03693","9.27","9.26","26.4","14 m -   32 m","0"
"(2023 XA3)","2023-Nov-29 09:29 ±    00:02","0.01538","0.01533","7.24","7.21","27.3","9.1 m -   20 m","0"
"(2023 VY8)","2023-Nov-29 18:55 ± < 00:01","0.04364","0.04299","19.95","19.95","25.1","25 m -   57 m","0"
"(2023 XR4)","2023-Nov-29 22:51 ± < 00:01","0.02307","0.02291","8.56","8.55","27.0","11 m -   24 m","0"
"(2023 XG4)","2023-Nov-30 03:31 ±    00:06","0.00117","0.00117","8.82","8.55","27.9","7.1 m -   16 m","1"
"(2023 XA1)","2023-Nov-30 03:39 ± < 00:01","0.02739","0.02724","11.02","11.01","24.1","40 m -   90 m","0"
"(2023 XF6)","2023-Nov-30 04:19 ± < 00:01","0.04963","0.04905","10.84","10.83","25.5","21 m -   47 m","0"
"(2023 XC4)","2023-Nov-30 07:26 ±    00:01","0.02507","0.02494","14.94","14.93","25.2","24 m -   54 m","0"
"(2023 WC1)","2023-Nov-30 08:51 ± < 00:01","0.01444","0.01439","7.77","7.75","26.5","13 m -   30 m","0"
"(2020 XN2)","2023-Nov-30 13:16 ± < 00:01","0.04013","0.04013","13.79","13.78","23.4","56 m -  130 m","0"
"(2023 XJ7)","2023-Nov-30 23:17 ±    00:01","0.02301","0.02289","7.29","7.27","27.4","9.0 m -   20 m","0"
"(2023 XS12)","2023-Dec-01 01:01 ±    00:42","0.00676","0.00649","8.44","8.39","25.9","18 m -   39 m","0"
"(2023 XB1)","2023-Dec-01 03:07 ± < 00:01","0.03556","0.03553","15.17","15.16","22.5","85 m -  190 m","1"
"(2023 WD3)","2023-Dec-01 05:31 ± < 00:01","0.02053","0.02028","14.09","14.08","25.1","25 m -   56 m","0"
"(2023 VM7)","2023-Dec-01 09:10 ±    00:02","0.01642","0.01634","3.20","3.15","27.6","8.1 m -   18 m","0"
"(2023 XE)","2023-Dec-01 11:40 ± < 00:01","0.03339","0.03323","7.34","7.33","26.4","14 m -   31 m","0"
"(2023 XU2)","2023-Dec-01 19:24 ±    00:01","0.02937","0.02925","15.88","15.88","25.2","24 m -   53 m","0"
"(2023 XG1)","2023-Dec-02 13:00 ±    00:02","0.01040","0.01026","13.81","13.80","24.0","43 m -   96 m","1"
"(2023 XM1)","2023-Dec-02 16:06 ± < 00:01","0.02060","0.02056","14.23","14.22","24.5","34 m -   76 m","0"
"(2023 XJ)","2023-Dec-02 19:20 ± < 00:01","0.00071","0.00071","15.73","15.49","28.7","4.9 m -   11 m","1"
"(2023 XU)","2023-Dec-02 20:15 ±    00:03","0.00319","0.00318","11.66","11.59","29.6","3.2 m -  7.2 m","0"
"(2023 XD12)","2023-Dec-03 06:46 ± < 00:01","0.04863","0.04822","8.58","8.57","24.9","28 m -   62 m","0"
"(2023 XO3)","2023-Dec-03 09:26 ± < 00:01","0.00350","0.00349","5.76","5.62","27.5","8.3 m -   19 m","0"
"(1998 WB2)","2023-Dec-03 12:28 ± < 00:01","0.02815","0.02815","14.21","14.20","21.9","0.150±0.007 km","1"
"(2023 XL1)","2023-Dec-03 18:03 ± < 00:01","0.02687","0.02677","6.19","6.17","26.5","13 m -   30 m","0"
"(2023 XW9)","2023-Dec-03 20:45 ±    00:38","0.01819","0.01807","15.67","15.66","26.2","16 m -   35 m","0"
"(2023 XL2)","2023-Dec-03 23:54 ± < 00:01","0.00074","0.00074","7.82","7.35","30.2","2.5 m -  5.5 m","0"
"(2023 XA)","2023-Dec-04 05:00 ± < 00:01","0.01366","0.01364","6.74","6.71","26.2","15 m -   34 m","0"
"(2023 XX2)","2023-Dec-04 11:25 ±    00:17","0.00385","0.00382","19.42","19.38","27.1","10 m -   22 m","0"
"(2023 XG7)","2023-Dec-04 11:26 ± < 00:01","0.03354","0.03340","4.50","4.48","26.8","11 m -   26 m","0"
"(2023 XP)","2023-Dec-04 11:54 ±    00:08","0.03773","0.03738","8.14","8.13","26.1","16 m -   36 m","0"
"(2023 XB)","2023-Dec-04 13:30 ± < 00:01","0.00278","0.00277","14.42","14.36","28.8","4.5 m -   10 m","0"
"(2013 VX4)","2023-Dec-04 16:37 ± < 00:01","0.01309","0.01309","6.58","6.55","23.8","46 m -  100 m","1"
"(2023 XR1)","2023-Dec-05 02:13 ± < 00:01","0.02491","0.02470","12.82","12.81","26.0","17 m -   37 m","0"
"(2023 XJ2)","2023-Dec-05 02:40 ± < 00:01","0.00522","0.00522","6.12","6.04","24.3","37 m -   82 m","2"
"(2023 XW10)","2023-Dec-05 09:54 ± < 00:01","0.01853","0.01837","24.24","24.23","25.5","21 m -   47 m","0"
"(2023 WW)","2023-Dec-05 12:23 ±    00:02","0.01989","0.01957","8.52","8.50","24.7","30 m -   68 m","0"
"(2023 XD1)","2023-Dec-05 18:23 ±    00:01","0.03336","0.03327","7.65","7.64","27.2","9.7 m -   22 m","0"
"(2023 XZ)","2023-Dec-05 18:28 ± < 00:01","0.00870","0.00867","8.68","8.65","28.4","5.4 m -   12 m","0"
"(2023 XT10)","2023-Dec-05 22:36 ±    00:10","0.01048","0.01038","5.17","5.12","28.1","6.4 m -   14 m","0"
"(2023 XK2)","2023-Dec-06 01:05 ±    00:02","0.02404","0.02394","5.86","5.84","26.8","12 m -   26 m","0"
"(2023 TB27)","2023-Dec-06 02:29 ± < 00:01","0.04358","0.04358","4.25","4.24","24.6","31 m -   70 m","0"
"(2023 XK)","2023-Dec-06 04:38 ± < 00:01","0.04279","0.04265","8.91","8.90","25.2","24 m -   54 m","0"
"(2023 XL)","2023-Dec-06 10:09 ± < 00:01","0.04125","0.04093","8.01","8.00","25.6","20 m -   45 m","0"
"(2023 YJ)","2023-Dec-06 12:09 ±    00:04","0.01544","0.01532","2.64","2.58","27.9","7.1 m -   16 m","0"
"(2023 XC1)","2023-Dec-06 12:39 ± < 00:01","0.01527","0.01522","9.05","9.03","26.5","13 m -   30 m","0"
"(2023 XK1)","2023-Dec-06 13:10 ± < 00:01","0.01534","0.01531","7.46","7.43","26.6","13 m -   29 m","0"
"(2023 XF1)","2023-Dec-06 14:22 ± < 00:01","0.01309","0.01305","11.18","11.16","26.7","12 m -   27 m","0"
"(2023 XU10)","2023-Dec-06 18:55 ± < 00:01","0.01620","0.01610","6.39","6.37","27.7","7.8 m -   17 m","0"
"(2023 XJ1)","2023-Dec-06 18:57 ± < 00:01","0.00066","0.00066","20.04","19.84","27.6","7.9 m -   18 m","1"
"139622 (2001 QQ142)","2023-Dec-06 21:00 ± < 00:01","0.03694","0.03694","6.66","6.65","18.5","540 m -  1.2 km","2"
"(2023 XD)","2023-Dec-07 01:01 ± < 00:01","0.00490","0.00489","9.94","9.88","26.9","11 m -   25 m","0"
"(2023 XT)","2023-Dec-07 04:16 ± < 00:01","0.00549","0.00548","8.44","8.38","28.7","4.8 m -   11 m","0"
"(2023 XS10)","2023-Dec-07 06:43 ±    00:02","0.00759","0.00757","12.73","12.70","25.8","19 m -   42 m","0"
"(2023 XG2)","2023-Dec-07 08:44 ± < 00:01","0.00395","0.00395","4.29","4.13","29.5","3.4 m -  7.6 m","0"
"(2023 XQ12)","2023-Dec-07 16:15 ±    00:03","0.04414","0.04294","19.63","19.63","24.8","29 m -   64 m","0"
"(2023 XY)","2023-Dec-07 17:41 ±    00:03","0.03683","0.03671","8.28","8.27","26.3","15 m -   33 m","0"
"(2023 XS17)","2023-Dec-07 21:04 ±    00:02","0.01711","0.01706","5.79","5.77","25.0","27 m -   61 m","0"
"(2023 XH)","2023-Dec-07 22:28 ± < 00:01","0.01019","0.01017","6.21","6.17","26.7","12 m -   27 m","0"
"(2023 XQ1)","2023-Dec-07 23:22 ±    00:01","0.00662","0.00660","11.86","11.83","27.4","8.9 m -   20 m","0"
"(2023 XE2)","2023-Dec-08 06:37 ±    00:01","0.03392","0.03383","5.87","5.86","26.5","13 m -   30 m","0"
"(2023 VF12)","2023-Dec-08 07:39 ± < 00:01","0.03315","0.03312","4.13","4.11","26.1","16 m -   37 m","0"
"(2023 XQ10)","2023-Dec-08 16:46 ±    00:18","0.00149","0.00148","10.60","10.43","26.4","14 m -   31 m","1"
"(2023 XU5)","2023-Dec-08 17:36 ± < 00:01","0.00248","0.00248","8.61","8.48","27.2","9.7 m -   22 m","0"
"(2023 XD3)","2023-Dec-08 18:45 ± < 00:01","0.00531","0.00531","5.25","5.15","27.0","10 m -   23 m","0"
"(2023 WG)","2023-Dec-08 19:04 ± < 00:01","0.04493","0.04482","6.58","6.57","25.1","25 m -   56 m","0"
"(2023 XR)","2023-Dec-08 21:41 ± < 00:01","0.03592","0.03494","15.64","15.63","25.8","19 m -   42 m","0"
"(2023 XT3)","2023-Dec-08 22:04 ± < 00:01","0.00542","0.00541","14.89","14.86","27.8","7.4 m -   17 m","0"
"(2023 XC)","2023-Dec-08 23:23 ± < 00:01","0.00539","0.00537","5.84","5.75","28.5","5.4 m -   12 m","0"
"(2023 XW5)","2023-Dec-09 02:10 ± < 00:01","0.00050","0.00050","5.92","4.93","28.7","4.9 m -   11 m","1"
"(2023 XS3)","2023-Dec-09 03:49 ± < 00:01","0.03048","0.03038","6.24","6.23","26.1","16 m -   35 m","0"
"(2023 XB4)","2023-Dec-09 06:13 ± < 00:01","0.00198","0.00198","10.07","9.94","28.2","6.1 m -   14 m","0"
"(2023 XW2)","2023-Dec-09 14:08 ± < 00:01","0.01666","0.01661","9.56","9.55","27.3","9.3 m -   21 m","0"
"(2023 XP2)","2023-Dec-10 05:05 ±    00:02","0.01497","0.01488","10.25","10.24","26.4","14 m -   31 m","0"
"(2023 WH)","2023-Dec-10 06:36 ± < 00:01","0.03040","0.03021","8.94","8.93","24.8","29 m -   65 m","0"
"(2020 HX3)","2023-Dec-10 09:29 ±    09:47","0.02516","0.01551","15.73","15.72","27.2","9.7 m -   22 m","0"
"(2023 XL13)","2023-Dec-10 13:51 ±    00:04","0.04811","0.04774","10.84","10.83","25.7","19 m -   42 m","0"
"(2023 XM15)","2023-Dec-10 16:30 ± < 00:01","0.03520","0.03493","6.58","6.57","24.2","38 m -   86 m","0"
"(2023 XH3)","2023-Dec-10 20:29 ± < 00:01","0.01172","0.01169","15.10","15.08","27.0","10 m -   23 m","0"
"(2023 XT4)","2023-Dec-10 22:08 ± < 00:01","0.01138","0.01137","8.93","8.91","26.8","11 m -   26 m","0"
"(2023 XR16)","2023-Dec-10 22:45 ± < 00:01","0.02713","0.02704","5.44","5.42","26.8","12 m -   27 m","0"
"(2023 XC13)","2023-Dec-11 00:19 ±    00:04","0.00853","0.00847","25.63","25.62","26.8","12 m -   26 m","0"
"(2023 XZ13)","2023-Dec-11 01:23 ±    00:03","0.00588","0.00585","8.69","8.64","28.4","5.5 m -   12 m","0"
"(2023 XP1)","2023-Dec-11 04:12 ±    00:02","0.03883","0.03764","9.58","9.57","24.8","30 m -   66 m","0"
"(2023 XH2)","2023-Dec-11 14:29 ± < 00:01","0.01276","0.01273","10.05","10.03","26.3","14 m -   32 m","0"
"(2010 XF3)","2023-Dec-11 17:11 ± < 00:01","0.04966","0.04966","3.97","3.96","24.4","34 m -   77 m","0"
"(2023 XN3)","2023-Dec-12 00:50 ± < 00:01","0.03519","0.03488","8.37","8.36","26.8","12 m -   26 m","0"
"(2023 WO3)","2023-Dec-12 06:55 ± < 00:01","0.02380","0.02371","9.29","9.28","24.7","31 m -   68 m","0"
"(2023 YC)","2023-Dec-12 08:30 ± < 00:01","0.03113","0.03083","14.32","14.31","23.9","44 m -   99 m","0"
"(2023 XO14)","2023-Dec-12 10:30 ± < 00:01","0.00663","0.00662","3.58","3.46","29.2","3.9 m -  8.8 m","0"
"(2023 XZ2)","2023-Dec-12 10:46 ± < 00:01","0.00858","0.00857","6.70","6.65","27.7","7.8 m -   17 m","0"
"(2023 XO1)","2023-Dec-12 21:10 ± < 00:01","0.01107","0.01104","7.21","7.18","27.1","10 m -   23 m","0"
"(2023 XR14)","2023-Dec-13 00:49 ± < 00:01","0.00305","0.00304","10.32","10.23","28.3","5.7 m -   13 m","0"
"(2023 XH7)","2023-Dec-13 03:13 ±    00:02","0.00628","0.00627","19.80","19.78","27.6","8.0 m -   18 m","0"
"(2023 XQ16)","2023-Dec-13 14:35 ± < 00:01","0.00084","0.00084","3.16","1.92","30.6","2.0 m -  4.6 m","0"
"(2023 YG)","2023-Dec-13 17:27 ± < 00:01","0.02060","0.02051","9.33","9.32","27.0","11 m -   24 m","0"
"(2023 YA)","2023-Dec-14 02:29 ± < 00:01","0.01052","0.01051","10.06","10.04","25.0","27 m -   61 m","1"
"(2023 XU4)","2023-Dec-14 17:27 ± < 00:01","0.01010","0.01009","6.19","6.15","27.4","8.9 m -   20 m","0"
"(2023 XB12)","2023-Dec-14 21:21 ± < 00:01","0.03350","0.03340","4.88","4.86","25.9","17 m -   39 m","0"
"(2023 XO10)","2023-Dec-14 22:58 ± < 00:01","0.02684","0.02639","16.45","16.45","26.5","13 m -   29 m","0"
"(2023 XB3)","2023-Dec-14 23:54 ±    00:13","0.03550","0.03532","9.95","9.94","26.9","11 m -   25 m","0"
"(2023 XN15)","2023-Dec-15 00:18 ± < 00:01","0.00482","0.00481","19.52","19.49","26.7","12 m -   27 m","0"
"(2023 XZ11)","2023-Dec-15 03:12 ± < 00:01","0.00939","0.00933","14.70","14.68","25.2","24 m -   54 m","1"
"(2023 WV23)","2023-Dec-15 05:09 ± < 00:01","0.01329","0.01325","6.62","6.58","23.7","49 m -  110 m","1"
"(2023 XL4)","2023-Dec-15 08:07 ± < 00:01","0.02930","0.02914","6.55","6.54","26.1","16 m -   36 m","0"
"(2023 XK10)","2023-Dec-15 08:41 ± < 00:01","0.04521","0.04499","13.57","13.56","24.7","31 m -   69 m","0"
"(2023 XY2)","2023-Dec-15 14:02 ± < 00:01","0.02471","0.02463","13.38","13.37","25.1","26 m -   58 m","0"
"(2023 XU12)","2023-Dec-15 14:32 ± < 00:01","0.03246","0.03232","4.73","4.71","27.1","10 m -   22 m","0"
"(2023 XK4)","2023-Dec-15 18:24 ± < 00:01","0.00876","0.00875","4.25","4.18","27.0","11 m -   24 m","0"
"(2023 XG18)","2023-Dec-15 18:27 ± < 00:01","0.00534","0.00533","13.97","13.93","28.4","5.6 m -   12 m","0"
"(2023 XV2)","2023-Dec-15 23:18 ± < 00:01","0.04069","0.04056","6.51","6.50","26.0","17 m -   38 m","0"
"(2023 XS14)","2023-Dec-15 23:50 ± < 00:01","0.02046","0.02040","14.82","14.81","25.8","18 m -   41 m","0"
"(2023 XJ13)","2023-Dec-16 03:00 ±    00:02","0.02491","0.02462","9.23","9.22","27.0","11 m -   24 m","0"
"(2024 AV)","2023-Dec-16 23:41 ±    00:03","0.02187","0.02181","3.33","3.29","26.5","13 m -   29 m","0"
"(2023 XJ10)","2023-Dec-17 04:06 ± < 00:01","0.02137","0.02130","16.08","16.07","25.5","21 m -   47 m","0"
"(2023 XL14)","2023-Dec-17 05:51 ± < 00:01","0.00382","0.00382","6.34","6.23","27.9","7.0 m -   16 m","0"
"(2023 XH1)","2023-Dec-17 13:07 ± < 00:01","0.03898","0.03885","5.43","5.42","26.7","12 m -   28 m","0"
"(2023 YY)","2023-Dec-17 16:03 ± < 00:01","0.03760","0.03747","6.68","6.67","24.8","30 m -   67 m","0"
"(2023 XA14)","2023-Dec-17 21:04 ±    00:03","0.02737","0.02722","5.36","5.34","27.3","9.1 m -   20 m","0"
"(2024 BH2)","2023-Dec-18 03:19 ±    01:53","0.01987","0.01965","8.61","8.59","24.3","37 m -   82 m","0"
"(2023 XL11)","2023-Dec-18 12:11 ± < 00:01","0.01582","0.01578","11.68","11.66","26.7","12 m -   28 m","0"
"(2023 YA1)","2023-Dec-18 16:31 ± < 00:01","0.00991","0.00989","6.06","6.01","28.2","6.1 m -   14 m","0"
"(2023 YS)","2023-Dec-19 04:42 ± < 00:01","0.01359","0.01356","31.49","31.49","25.6","21 m -   46 m","0"
"(2023 XF2)","2023-Dec-19 15:11 ± < 00:01","0.02497","0.02489","7.98","7.97","26.1","16 m -   35 m","0"
"(2016 XD2)","2023-Dec-19 17:40 ± < 00:01","0.04804","0.04804","6.85","6.85","24.0","41 m -   92 m","0"
"(2023 YO)","2023-Dec-19 18:47 ± < 00:01","0.01186","0.01184","4.33","4.27","28.6","5.2 m -   12 m","0"
"(2023 XS)","2023-Dec-19 23:36 ± < 00:01","0.02935","0.02929","9.06","9.05","25.4","22 m -   50 m","0"
"341843 (2008 EV5)","2023-Dec-20 06:52 ± < 00:01","0.04225","0.04225","5.35","5.33","20.1","0.40±.050 km","1"
"(2024 AH)","2023-Dec-21 07:38 ±    00:05","0.02402","0.02389","12.12","12.11","23.7","48 m -  110 m","0"
"(2023 YB)","2023-Dec-21 08:27 ± < 00:01","0.02255","0.02250","11.16","11.15","25.6","21 m -   46 m","0"
"(2018 YJ2)","2023-Dec-21 10:59 ± < 00:01","0.04698","0.04698","13.06","13.05","21.7","120 m -  270 m","1"
"(2024 AN)","2023-Dec-22 04:07 ±    00:02","0.01862","0.01853","8.47","8.45","26.5","13 m -   30 m","0"
"(2024 AM1)","2023-Dec-22 22:26 ±    00:06","0.02773","0.02744","19.90","19.89","24.5","33 m -   75 m","0"
"(2022 YG)","2023-Dec-22 23:10 ± < 00:01","0.02861","0.02860","5.13","5.11","26.7","12 m -   27 m","0"
"(2023 VD6)","2023-Dec-23 01:26 ± < 00:01","0.02719","0.02719","15.47","15.46","21.6","130 m -  280 m","1"
"(2023 YP)","2023-Dec-23 02:19 ±    00:03","0.00238","0.00238","7.74","7.59","28.0","6.7 m -   15 m","0"
"(2020 YO3)","2023-Dec-23 02:44 ± < 00:01","0.00144","0.00144","16.45","16.34","24.7","30 m -   67 m","2"
"(2023 XN10)","2023-Dec-23 15:22 ± < 00:01","0.04703","0.04698","9.88","9.87","23.8","46 m -  100 m","0"
"(2023 XD18)","2023-Dec-23 18:55 ± < 00:01","0.00990","0.00988","11.01","10.99","26.6","12 m -   28 m","0"
"(2023 XN11)","2023-Dec-24 00:34 ±    00:02","0.02373","0.02329","10.41","10.40","24.7","31 m -   69 m","0"
"(2010 UE51)","2023-Dec-24 13:44 ± < 00:01","0.02293","0.02293","1.31","1.22","28.5","5.4 m -   12 m","0"
"(2023 XP13)","2023-Dec-24 15:10 ± < 00:01","0.03038","0.03012","18.71","18.71","25.6","21 m -   46 m","0"
"(2023 YT)","2023-Dec-25 00:02 ± < 00:01","0.01567","0.01564","4.43","4.39","26.2","15 m -   34 m","0"
"(2023 XK16)","2023-Dec-25 07:28 ±    00:07","0.02231","0.02202","7.41","7.40","24.9","28 m -   63 m","0"
"(2020 YR2)","2023-Dec-25 12:16 ± 1_02:07","0.03532","0.02577","8.03","8.02","28.3","5.8 m -   13 m","0"
"(2023 XJ3)","2023-Dec-25 13:40 ± < 00:01","0.04218","0.04214","9.21","9.21","24.1","39 m -   88 m","0"
"(2020 KT4)","2023-Dec-25 19:59 ± < 00:01","0.03422","0.03422","7.28","7.27","23.2","60 m -  130 m","0"
"(2024 AE)","2023-Dec-26 03:06 ± < 00:01","0.03415","0.03395","12.66","12.66","25.1","25 m -   57 m","0"
"(2024 BP)","2023-Dec-26 07:10 ±    01:23","0.04671","0.04635","1.70","1.66","26.4","14 m -   30 m","0"
"(2024 AJ)","2023-Dec-26 12:08 ±    00:01","0.02132","0.02113","7.32","7.30","27.3","9.2 m -   21 m","0"
"(2023 XO7)","2023-Dec-26 13:28 ±    00:02","0.01613","0.01608","6.72","6.69","25.9","17 m -   39 m","0"
"(2024 AG)","2023-Dec-27 12:59 ±    00:07","0.01859","0.01829","14.72","14.71","26.0","17 m -   38 m","0"
"(2023 YD)","2023-Dec-28 21:38 ± < 00:01","0.00405","0.00404","9.94","9.87","25.6","20 m -   45 m","1"
"(2023 YC2)","2023-Dec-28 22:53 ±    00:03","0.00360","0.00357","14.57","14.51","27.2","9.5 m -   21 m","0"
"(2023 YZ)","2023-Dec-29 12:55 ± < 00:01","0.02551","0.02547","5.61","5.60","25.7","19 m -   42 m","0"
"(2023 YM)","2023-Dec-30 01:18 ±    00:04","0.02597","0.02583","12.36","12.35","24.9","28 m -   62 m","0"
"(2024 AL3)","2023-Dec-30 02:23 ± < 00:01","0.04322","0.04321","11.41","11.40","23.7","48 m -  110 m","0"
"(2024 AE1)","2023-Dec-30 05:33 ± < 00:01","0.01292","0.01292","3.50","3.44","27.2","9.5 m -   21 m","0"
"(2024 DN)","2023-Dec-30 15:49 ± 3_15:28","0.03333","0.02996","4.17","4.15","25.4","22 m -   50 m","0"
"(2024 AB)","2023-Dec-31 00:21 ±    00:01","0.00438","0.00437","8.18","8.10","27.5","8.4 m -   19 m","0"
"(2024 AL)","2023-Dec-31 08:07 ±    00:04","0.00239","0.00239","12.56","12.48","27.7","7.7 m -   17 m","0"
"(2024 AM2)","2023-Dec-31 14:23 ±    00:03","0.01658","0.01649","17.41","17.40","24.9","28 m -   62 m","0"
"(2024 AQ3)","2023-Dec-31 14:30 ±    00:01","0.02472","0.02462","4.65","4.63","26.4","14 m -   31 m","0"
"(2023 XE12)","2023-Dec-31 15:32 ±    00:14","0.03760","0.03715","11.77","11.77","24.6","32 m -   71 m","0"
"(2021 AM6)","2023-Dec-31 17:26 ±    10:03","0.04682","0.03862","6.65","6.64","26.6","13 m -   28 m","0"
"(2024 AV2)","2024-Jan-01 02:47 ±    00:01","0.00971","0.00971","8.06","8.03","26.6","13 m -   28 m","0"
"(2023 YR1)","2024-Jan-01 02:48 ± < 00:01","0.01661","0.01656","13.30","13.28","25.7","19 m -   43 m","0"
"(2024 AA6)","2024-Jan-01 12:30 ± < 00:01","0.04914","0.04893","7.12","7.12","25.1","25 m -   56 m","0"
"(2023 YY1)","2024-Jan-01 20:09 ± < 00:01","0.02713","0.02707","6.48","6.46","25.8","19 m -   42 m","0"
"(2023 YR)","2024-Jan-02 03:18 ± < 00:01","0.01156","0.01153","12.22","12.20","24.9","28 m -   62 m","0"
"(2024 AQ1)","2024-Jan-02 08:59 ± < 00:01","0.04383","0.04356","15.47","15.47","23.7","48 m -  110 m","0"
"(2024 AA)","2024-Jan-02 16:39 ± < 00:01","0.00408","0.00407","21.43","21.40","27.4","8.8 m -   20 m","0"
"(2019 KK5)","2024-Jan-02 21:21 ± < 00:01","0.02610","0.02610","20.83","20.83","22.8","74 m -  160 m","1"
"(2024 AH3)","2024-Jan-03 02:56 ± < 00:01","0.01800","0.01796","9.88","9.87","25.7","20 m -   44 m","0"
"(2024 AM3)","2024-Jan-03 09:45 ±    08:39","0.01791","0.01653","9.64","9.62","26.6","13 m -   28 m","0"
"(2024 AA3)","2024-Jan-03 13:49 ± < 00:01","0.03481","0.03451","10.74","10.73","25.8","19 m -   42 m","0"
"(2024 AD)","2024-Jan-04 18:15 ± < 00:01","0.00162","0.00162","9.90","9.73","28.8","4.7 m -   11 m","0"
